date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2001-03-16,73.21,88.32,-24.31,29.91,11384.15,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-19,74.7,88.24,-22.77,29.78,13091.34,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-20,72.69,88.14,-24.84,30.96,10448.97,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-21,71.46,88.03,-26.12,31.93,10448.57,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-22,70.73,87.92,-26.87,32.84,12351.46,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-23,72.87,87.82,-24.66,30.45,12350.99,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-26,73.8,87.73,-23.34,29.04,11493.46,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-27,75.31,87.65,-21.78,27.04,12680.58,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-28,73.23,87.56,-23.94,28.58,9557.6,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-29,73.51,87.46,-23.65,29.17,9015.56,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-30,74.28,87.36,-22.85,28.64,9154.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-02,72.69,87.26,-24.49,31.21,7926.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-03,70.27,87.15,-27.01,34.72,6183.83,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-04,70.56,87.03,-26.71,34.07,5857.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-05,73.23,86.93,-23.93,29.94,7539.18,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-06,72.12,86.83,-25.09,31.69,6714.46,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-09,72.92,86.73,-24.26,31.91,7330.56,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-10,74.25,86.65,-22.87,29.44,8962.58,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-11,74.3,86.56,-22.82,28.46,9772.93,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-12,75.65,86.48,-21.42,26.12,11059.74,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-16,74.86,86.39,-22.25,26.33,9082.51,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-17,75.91,86.32,-21.15,25.61,9759.13,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-18,78.93,86.25,-18.01,24.13,12810.71,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-19,79.98,86.19,-16.92,24.16,15130.51,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-20,79.25,86.13,-17.68,25.38,15223.92,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-23,77.81,86.06,-19.18,28.16,12156.52,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-24,77.39,85.98,-19.61,28.49,11469.49,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-25,78.4,85.9,-18.56,27.4,12090.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-26,78.75,85.83,-18.2,25.96,11165.11,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-27,80.06,85.76,-16.84,24.02,12079.22,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-04-30,80.62,85.69,-16.26,25.48,12881.39,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-01,80.87,85.61,-16.0,24.2,14471.88,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-02,80.73,85.54,-16.15,24.23,15311.65,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-03,79.7,85.47,-17.21,25.78,13266.59,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-04,81.06,85.4,-15.81,23.91,14456.68,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-07,80.36,85.33,-16.53,24.86,13556.33,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-08,80.32,85.27,-16.57,24.44,14417.46,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-09,79.98,85.2,-16.92,24.35,12936.27,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-10,80.22,85.14,-16.68,24.0,12285.51,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-11,79.66,85.08,-17.25,23.54,12107.88,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-14,79.82,85.02,-17.09,24.26,11525.29,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-15,80.19,84.97,-16.7,23.71,11779.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-16,82.08,84.93,-14.74,21.89,13344.37,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-17,82.21,84.88,-14.61,21.47,13980.66,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-18,82.58,84.84,-14.22,21.23,14102.71,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-21,83.8,84.8,-12.96,20.76,16753.03,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-22,83.69,84.76,-13.07,21.35,16604.77,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-23,82.27,84.7,-14.54,22.08,14402.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-24,82.51,84.64,-14.29,20.57,15511.69,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-25,81.54,84.59,-15.3,20.6,14662.47,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-29,80.89,84.53,-15.98,22.14,12084.99,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-30,79.76,84.46,-17.15,22.76,10756.01,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-05-31,80.17,84.39,-16.72,22.64,10973.48,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-01,80.67,84.32,-16.21,21.59,11944.58,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-04,81.06,84.26,-15.81,21.38,11772.94,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-05,81.99,84.2,-14.84,19.58,13329.18,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-06,81.31,84.13,-15.55,20.39,13019.5,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-07,81.6,84.06,-15.24,19.67,14022.63,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-08,80.84,83.99,-16.03,19.92,12855.91,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-11,80.27,83.92,-16.63,20.7,11796.57,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-12,80.13,83.84,-16.77,20.7,11604.0,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-13,79.44,83.76,-17.49,21.45,10653.46,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-14,77.66,83.67,-19.34,23.12,9003.01,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-15,77.78,83.58,-19.21,22.81,9226.42,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-18,77.41,83.49,-19.6,23.17,8855.72,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-19,77.74,83.4,-19.25,22.34,8722.64,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-20,78.15,83.31,-18.82,21.71,9316.76,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-21,79.04,83.23,-17.9,19.38,9695.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-22,78.42,83.15,-18.54,20.02,9627.97,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-06-25,77.7,83.06,-19.29,20.67,9701.08,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
