date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2008-09-16,88.06,96.68,-20.77,30.3,2099.54,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-17,84.1,96.57,-24.34,36.22,1772.73,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-18,86.6,96.48,-22.09,33.1,1952.53,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-19,90.04,96.41,-19.0,32.07,2143.95,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-22,88.0,96.32,-20.83,33.85,1841.01,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-23,86.0,96.21,-22.63,35.72,1799.06,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-24,86.27,96.11,-22.38,35.19,1836.24,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-25,87.62,96.01,-21.17,32.82,1923.83,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-26,87.67,95.92,-21.13,34.74,1865.35,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-29,80.8,95.79,-27.31,46.72,1421.19,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-30,84.14,95.69,-24.3,39.39,1544.01,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-01,84.19,95.58,-24.26,39.81,1495.15,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-02,81.14,95.47,-27.0,45.26,1291.21,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-03,80.04,95.36,-27.99,45.14,1231.08,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-06,75.96,95.22,-31.66,52.05,1096.29,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-07,72.56,95.06,-34.72,53.68,887.74,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-08,70.73,94.88,-36.3,57.53,866.5,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-09,65.79,94.68,-40.75,63.92,796.65,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-10,64.2,94.47,-42.19,69.95,781.45,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-13,73.52,94.31,-33.23,54.99,1066.61,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-14,72.43,94.14,-34.07,55.13,928.12,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-15,65.3,93.95,-40.56,69.25,678.72,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-16,68.02,93.77,-38.08,67.61,789.16,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-17,67.62,93.59,-38.45,70.33,792.06,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-20,71.68,93.45,-34.75,52.97,858.24,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-21,69.54,93.29,-36.7,53.11,724.82,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-22,65.75,93.12,-40.15,69.65,664.7,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-23,66.51,92.95,-39.45,67.8,656.86,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-24,63.14,92.76,-42.52,79.13,593.49,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-27,60.9,92.57,-44.56,80.06,544.0,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-28,68.01,92.4,-38.09,66.96,724.3,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-29,67.52,92.25,-38.54,69.96,718.82,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-30,69.86,92.11,-35.33,62.9,790.71,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-10-31,70.24,91.98,-34.98,59.89,794.3,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-11-03,70.44,91.86,-34.79,53.68,789.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-11-04,72.84,91.76,-32.57,47.73,856.25,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
