Date,buy_hold_spy,buy_hold_qqq,trend_following_spy_200d,sixty_forty,dual_momentum,sector_momentum_top3_monthly,vix_overlay_spy_25,vix_overlay_spy_30,sector_rotation_5d_live,sector_rotation_sensitivity_best,ensemble_regime_routed,trend_leveraged_tqqq,trend_leveraged_upro,trend_with_inverse_sh,hedgefundie_55_45_upro_tmf,buy_dip_tqqq,vix_timing_with_inverse,tqqq_trend_1d_hold,tqqq_trend_5d_hold,tqqq_trend_21d_hold,tqqq_trend_vix_gated,tqqq_trend_trailing_stop_10pct,synth_3x_qqq_trend,synth_3x_spy_trend,synth_3x_qqq_trend_vix_gated,synth_3x_qqq_trend_trailing_stop_10pct
1993-07-20,103271.30034016923,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101177.45491963059,,
1993-07-21,103199.42582439516,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101187.49236555518,,
1993-07-22,102479.70235271877,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101197.53080725812,,
1993-07-23,102983.51825044648,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101207.57024483822,,
1993-07-26,103559.18499506266,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101217.61067839428,,
1993-07-27,103487.19213486089,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101227.6521080251,,
1993-07-28,103271.30034016923,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101237.69453382948,,
1993-07-29,103847.04598107058,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101247.73795590625,,
1993-07-30,103271.30034016923,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101257.78237435425,,
1993-08-02,103559.18499506266,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101267.82778927234,,
1993-08-03,103631.13840712188,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101277.8742007594,,
1993-08-04,103631.13840712188,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101287.92160891424,,
1993-08-05,103415.32550871535,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101297.97001383579,,
1993-08-06,103559.18499506266,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101308.01941562288,,
1993-08-09,104134.94641522106,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101318.06981437445,,
1993-08-10,104062.89832761965,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101328.12121018939,,
1993-08-11,104062.89832761965,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101338.17360316661,,
1993-08-12,103775.06890012583,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101348.22699340504,,
