Date,equal_weight,risk_parity,regime_routed,"tqqq_trend_trailing_stop_10pct (synth, 1999+)",sixty_forty (2002+),trend_following_spy_200d (1993+),buy_hold_spy
2018-08-10,501535.41484037536,266967.6844723279,1022628.4261098732,1599861.896546684,407562.11394150974,675509.452349872,1039691.9950929646
2018-08-13,500413.73073661426,266947.24671465054,1022740.0654072583,1600036.5518305425,406308.8261810136,672980.6247547524,1035799.8189013957
2018-08-14,501930.6552589488,266952.7509341905,1022516.4752609604,1599686.7538527313,407500.0065241972,677274.8664835907,1042409.1842255021
2018-08-15,500358.20144099096,266944.6416206104,1022740.0654072583,1600036.5518305425,406623.98472335655,672217.4163356434,1034625.147427629
2018-08-16,502511.9234067467,267037.3951964705,1022740.0654072583,1600036.5518305425,408584.6097816065,677656.5732142911,1042996.6777550179
2018-08-17,503556.8213574216,267109.80976387626,1022851.4970036253,1600210.882174338,409650.4799725474,680042.1992727104,1046668.4491974391
2018-08-20,504580.973433088,267160.2869871752,1022851.4970036253,1600210.882174338,411273.50069497374,681497.1793764117,1048907.8422386104
2018-08-21,505004.3032870978,267201.7841439409,1022964.0709555936,1600386.9996884803,411298.5777749922,683095.8941267723,1051368.460550619
2018-08-22,505110.588329966,267210.4890105161,1022964.0709555936,1600386.9996884803,411802.56650596607,682690.1564394549,1050743.980428033
2018-08-23,504913.0544231849,267283.6561392089,1023298.9888477491,1600910.9655400554,411731.3625359184,681783.7464836458,1049348.9042051183
2018-08-24,506666.04967575497,267363.2094173573,1023298.9888477491,1600910.9655400554,413541.92673511675,685886.8477879252,1055664.0809450957
2018-08-27,508431.305037601,267460.8325431111,1023410.5242946249,1601085.4583538822,414554.17652171326,691302.2197607062,1063999.0033817329
2018-08-28,508155.26831791294,267442.43203134945,1023410.5242946249,1601085.4583538822,413678.6952381254,691636.1926458398,1064513.0286615328
2018-08-29,509684.80071368854,267485.65164164314,1023298.9888477488,1600910.9655400554,415233.36236478284,695357.7102447938,1070240.9012231533
2018-08-30,508804.5511581916,267554.16153388197,1023745.9614393266,1601610.236555615,414581.5778571014,692542.7256270241,1065908.2942356062
2018-08-31,508638.8052126292,267517.3169987593,1023634.4259924508,1601435.7437417882,414207.3013771204,692566.5925498075,1065945.0283604644
2018-09-04,507794.32713961176,267490.4577279015,1023723.7374303588,1601575.4679688748,412821.392397463,691373.902545973,1064109.3319904127
2018-09-05,506866.3891526089,267415.70343205257,1023611.7865814458,1601400.325274922,411714.5187679415,689513.0207211208,1061245.2063584435
2018-09-06,506337.92436096526,267445.81166080985,1023835.1690267255,1601749.7983126703,411576.25638448517,687437.418608135,1058050.5998368582
2018-09-07,505277.11244195886,267437.0710321562,1024059.6938276062,1602101.0585207648,409698.79993772873,686101.8141268089,1055994.9405370299
2018-09-10,505994.4023898235,267476.20467700384,1024059.6938276062,1602101.0585207648,410731.4188377831,687294.5041306436,1057830.6369070814
2018-09-11,506389.2045549717,267514.96252903994,1024171.6446765191,1602276.201214718,410293.6118834953,689560.7545666876,1061318.6746081596
2018-09-12,506614.0143221561,267528.2936100863,1024171.6446765191,1602276.201214718,410740.5527121124,689727.9870600047,1061576.0659503776
2018-09-13,508314.24991459365,267613.05745482724,1024171.6446765191,1602276.201214718,412446.77913335996,693807.1804330423,1067854.4454484438
2018-09-14,508054.9839653206,267622.7366383343,1024283.4916749226,1602451.1814386393,411699.83641104377,693926.2689962089,1068037.7373704158
2018-09-17,506657.5392702058,267609.5707241575,1024507.6010737668,1602801.7917666081,410392.0930917579,690252.5672597383,1062383.4592926172
2018-09-18,507417.1287903564,267635.589800347,1024507.6010737668,1602801.7917666081,410011.06176655577,693997.9517814757,1068148.0659790959
2018-09-19,507301.83335830097,267624.80004639894,1024507.6010737668,1602801.7917666081,409294.6523798778,694737.4983200933,1069286.3189132696
2018-09-20,509844.6160910073,267799.01039619994,1024731.2950705739,1603151.7522144509,412042.9294970898,700367.7136063831,1077951.9115906816
2018-09-21,509567.1393614696,267785.983688192,1024731.2950705739,1603151.7522144509,411746.695672991,699727.7356047382,1076966.9068612417
2018-09-24,508508.5921710546,267761.9426694764,1024842.8305174498,1603326.2450282776,410503.93905097415,697402.8020647371,1073388.5486572913
2018-09-25,508187.4724923078,267745.75997065153,1024842.8305174498,1603326.2450282776,410106.8125995434,696756.2627097496,1072393.445199368
2018-09-26,507852.5690695991,267735.6376683259,1024842.8305174498,1603326.2450282776,410523.29993766703,694671.1466344172,1069184.195521482
2018-09-27,508692.6508327152,267829.26787261287,1025067.3553183306,1603677.5052363724,411323.4464070307,696612.3230207984,1072171.9043432658
2018-09-28,508541.84122203785,267819.9925476356,1025067.3553183306,1603677.5052363724,410915.14600423,696684.2518568155,1072282.611654264
2018-10-01,508997.3253391274,267851.9390822255,1025133.9234947249,1603781.6485265612,410565.0003155332,699104.6530879502,1076007.9063576467
2018-10-02,509272.6655767749,267896.0016855512,1025246.497446693,1603957.766040703,411425.43741731957,698697.2750622972,1075380.9015529398
2018-10-03,508242.0569635772,267836.02130200755,1025246.497446693,1603957.766040703,408701.9638691333,699080.5401144165,1075970.7935304705
2018-10-04,505682.5578389883,267765.91077350895,1025470.9183970647,1604308.8637787662,405632.19034281676,693616.6551353593,1067561.2036201102
2018-10-05,503611.9200176207,267691.65891336673,1025582.661544959,1604483.6815326558,402875.4492739984,689734.4663964304,1061586.0384447547
