Date,buy_hold_spy,trend_following_spy,vix_overlay_spy_30,vix_overlay_spy_25,sixty_forty,dual_momentum,sector_momentum_top3_monthly,sector_rotation_5d_live,sector_rotation_5d_trend_filter,sector_rotation_5d_vix_filter,sector_rotation_monthly_match_live,buy_hold_btc,btc_stress_overlay
2020-02-18,207111.45891261028,169394.42546175,181279.52786404654,184756.6352612349,195764.55476213773,132773.07202314172,176692.53256686582,107902.84869695664,102031.71877137083,106641.01055150345,107415.13292185555,2217634.3249106947,6964603.048943548
2020-02-19,208101.70729114837,170204.33987222053,182146.26773190327,185639.99999369422,196320.76210811845,133407.89116822786,177028.1825653254,107758.56260065755,101887.43267507173,106496.72445520436,107539.3239449881,2106422.5281849545,6615336.260522166
2020-02-20,207246.7523264788,169505.0806144458,181397.94683670008,184877.32561825617,196451.97979057895,132859.80465627628,176244.0261426617,107656.09650975079,101784.96658416497,106394.2583642976,107429.50170815623,2100975.4956001705,6598229.553919755
2020-02-21,205112.39448494997,167759.41032563715,179529.79630636884,182973.34224951998,195972.04451681353,131491.53054481806,174852.92134768833,107486.55162464203,101615.42169905621,106224.71347918884,107195.48762268414,2118023.3900872692,6651769.407893515
2020-02-22,,,,,,,,,,,,2112937.443084079,
2020-02-23,,,,,,,,,,,,2170080.357423478,
2020-02-24,198309.80795092712,162195.64169769824,173575.66087795532,176905.0010495782,193242.60896524918,127130.59215653424,169927.32301987638,106910.1138176879,101038.98389210209,105648.27567223471,106782.17422841582,2110093.386986359,6626864.795282526
2020-02-25,192300.5785452004,157280.75206293186,168315.931284932,176905.0010495782,190140.73632628977,123278.25171685443,165206.35296759373,106203.04630577224,100331.91638018642,104941.20816031905,106265.41417327186,2042643.838840469,6415035.764955064
2020-02-26,191593.28174848302,156702.26096862002,167696.8519252391,176943.68983836114,189318.3384763339,122824.82451864265,164892.95459038485,106004.28211019034,100133.15218460452,104742.44396473715,106208.38612849085,1928682.7950047248,6057134.814178982
2020-02-27,182988.5425765005,149664.52942088744,160165.33694929353,176982.32632143598,185038.3045320023,117308.5790157608,157588.31011519142,105035.25697954501,99164.1270539592,103773.41883409182,105269.66209463766,1920804.8941403066,6032393.831518638
2020-02-28,182219.64794340968,149664.52942088744,160147.79122700886,176962.9383389544,186243.38136323632,116815.66325420146,155556.53555761013,104813.45999253631,98942.3300669505,103551.62184708312,105027.73074623349,1896306.5933685356,6032393.831518638
2020-02-29,,,,,,,,,,,,1880356.262387877,
2020-03-01,,,,,,,,,,,,1872253.9375457806,
2020-03-02,190110.92848109163,149664.52942088744,160195.09525165765,177015.2091766161,190534.54691745725,121874.53138581243,164036.91476285635,104813.45999253631,98942.3300669505,103551.62184708312,106068.14932405032,1939429.3083488161,6032393.831518638
2020-03-03,184667.6433179236,145379.31173793733,160230.17091769975,177053.96770634325,188444.5824256805,118385.00117436839,159928.5165681057,104813.45999253631,98942.3300669505,103551.62184708312,105594.6218040045,1921524.7164321768,5976703.454267532
2020-03-04,192429.75120040297,145379.31173793733,160300.1960215661,177131.3452839092,192396.69204699,123361.06051141689,168314.82489995926,104813.45999253631,98942.3300669505,103551.62184708312,106513.65889113548,1914409.5581446078,5976703.454267532
2020-03-05,186033.10652636163,140546.69207105532,160335.24013055375,177170.06894316422,190474.98772499684,119260.35952426726,164376.96337166373,104813.45999253631,98942.3300669505,103551.62184708312,106063.49355792778,1985149.2344047457,6197549.649721909
2020-03-06,182957.7539280431,140546.69207105532,160335.24013055375,177170.06894316422,192550.98188867574,117288.84131770876,162481.61010814205,104813.45999253631,98942.3300669505,103551.62184708312,105791.28412014476,1994722.8068264874,6197549.649721909
2020-03-07,,,,,,,,,,,,1948237.7893223912,
