date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2022-05-16,378.59,420.54,-15.99,27.47,116476.23,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-17,386.38,420.42,-14.26,26.1,125522.54,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-18,370.81,420.2,-17.72,30.96,107032.02,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-19,368.54,419.99,-18.22,29.35,105307.41,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-20,368.7,419.76,-18.18,29.43,104321.65,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-23,375.59,419.57,-16.65,28.48,109521.38,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-24,372.73,419.36,-17.29,29.45,102531.35,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-25,376.02,419.17,-16.56,28.37,106832.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-26,383.53,419.01,-14.89,27.5,115708.38,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-27,392.95,418.89,-12.8,25.72,127034.07,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-31,390.74,418.75,-13.29,26.19,126018.19,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-01,387.58,418.59,-13.99,25.69,123217.37,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-02,394.97,418.49,-12.36,24.72,133335.96,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-03,388.48,418.37,-13.79,24.79,122923.0,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-06,389.67,418.26,-13.53,25.07,124146.67,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-07,393.4,418.15,-12.7,24.02,127354.63,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-08,389.13,418.0,-13.65,23.96,124600.34,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-09,379.87,417.8,-15.7,26.09,114583.46,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-10,368.86,417.54,-18.15,27.75,102454.97,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-13,354.85,417.23,-21.26,34.02,88159.75,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-14,353.78,416.88,-21.49,32.69,88636.53,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-06-15,358.83,416.56,-20.37,29.62,95273.51,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
